Question ID,Question Format Description,Question Format Code,Question Set,Question Prompt
Q938,Radio Button (code),0,"French fries, home fries, hash browned potatoes, or Tater Tots","Over the past month</u>, how often did you eat French fries, home fries, hash browned potatoes, or Tater Tots?"
Q939,Radio Button (code),0,"French fries, home fries, hash browned potatoes, or Tater Tots","Each time you ate French fries, home fries, hash browned potatoes, or Tater Tots, how much did you usually eat?"
Q941,Radio Button (code),0,Potato salad,"Over the past month</u>, how often did you eat potato salad?"
Q942,Radio Button (code),0,Potato salad,"Each time you ate potato salad, how much did you usually eat?"
Q944,Radio Button (code),0,"Baked, boiled, or mashed potatoes","Over the past month</u>, how often did you eat baked, boiled, or mashed potatoes?"
Q945,Radio Button (code),0,"Baked, boiled, or mashed potatoes","Each time you ate baked, boiled, or mashed potatoes, how much did you usually eat?"
Q946,Radio Button (code),0,"Baked, boiled, or mashed potatoes",How often were the potatoes you ate mashed?
Q947,Radio Button (code),0,"Baked, boiled, or mashed potatoes","How often was sour cream (including low-fat, diet, or light) added to your potatoes, EITHER IN COOKING OR AT THE TABLE?"
Q948,Radio Button (code),0,"Baked, boiled, or mashed potatoes","Each time sour cream was added to your potatoes, how much did you usually eat?"
Q949,Radio Button (code),0,"Baked, boiled, or mashed potatoes","How often was margarine (including low-fat, diet, or light) added to your potatoes, EITHER IN COOKING OR AT THE TABLE?"
Q950,Radio Button (code),0,"Baked, boiled, or mashed potatoes","How often was butter (including low-fat, diet, or light) added to your potatoes, EITHER IN COOKING OR AT THE TABLE?"
Q951,Radio Button (code),0,"Baked, boiled, or mashed potatoes","Each time margarine or butter was added to your potatoes, how much did you usually eat?"
Q953,Radio Button (code),0,"Cooked dried or canned beans (such as baked beans, pintos, kidney, black-eyed peas, lima, lentils, soybeans, or refried beans; <i>NOT including bean soups or chili</i>)","Over the past month</u>, how often did you eat cooked dried or canned beans (such as baked beans, pintos, lentils, kidney, black-eyed peas, lima, soybeans, or refried beans; NOT including bean soups or chili)?"
Q954,Radio Button (code),0,"Cooked dried or canned beans (such as baked beans, pintos, kidney, black-eyed peas, lima, lentils, soybeans, or refried beans; <i>NOT including bean soups or chili</i>)","Each time you ate cooked dried or canned beans, how much did you usually eat?"
Q955,Radio Button (code),0,"Cooked dried or canned beans (such as baked beans, pintos, kidney, black-eyed peas, lima, lentils, soybeans, or refried beans; <i>NOT including bean soups or chili</i>)",How often were the cooked dried or canned beans you ate refried beans?
Q957,Radio Button (code),0,Other kinds of vegetables (not listed above),"Over the past month</u>, how often did you eat other kinds of vegetables?"
Q958,Radio Button (code),0,Other kinds of vegetables (not listed above),"Each time you ate other kinds of vegetables, how much did you usually eat?"
Q959,Checkbox Index (delimited codes),7,"What <b>soups, chili, tacos, burritos, tortillas, etc.</b> have you eaten?",Please check the box next to each food that you ate at least once in the past month.
Q961,Radio Button (code),0,Soups,"Over the past month</u>, how often did you eat soups?"
Q962,Radio Button (code),0,Soups,"Each time you ate soups, how much did you usually eat?"
Q963,Radio Button (code),0,Soups,How often were the soups you ate bean soups?
Q964,Radio Button (code),0,Soups,How often were the soups you ate tomato or vegetable soups?
Q965,Radio Button (code),0,Soups,How often were the soups you ate broth soups (including chicken ) with or without noodles or rice?
Q967,Radio Button (code),0,Chili,"Over the past month</u>, how often did you eat chili?"
Q968,Radio Button (code),0,Chili,"Each time you ate chili, how much did you usually eat?"
Q970,Radio Button (code),0,"Tacos, tostados, burritos, tamales, fajitas, enchiladas, quesadillas, or chimichangas","Over the past month</u>, how often did you eat tacos, tostados, burritos, tamales, fajitas, enchiladas, quesadillas, or chimichangas?"
Q971,Radio Button (code),0,"Tacos, tostados, burritos, tamales, fajitas, enchiladas, quesadillas, or chimichangas",How often did you eat burritos?
Q972,Radio Button (code),0,"Tacos, tostados, burritos, tamales, fajitas, enchiladas, quesadillas, or chimichangas",How often did you eat tacos?
Q973,Radio Button (code),0,"Tacos, tostados, burritos, tamales, fajitas, enchiladas, quesadillas, or chimichangas","Each time you ate burritos or tacos, how much did you usually eat?"
Q975,Radio Button (code),0,Corn or wheat tortillas,"How often did you usually eat corn or wheat tortillas, not including in tacos, tostados, burritos, tamales, fajitas, enchiladas, quesadillas, or chimichangas?"
Q976,Radio Button (code),0,Corn or wheat tortillas,"Each time you ate corn or wheat tortillas, how many did you usually eat?"
Q977,Radio Button (code),0,Corn or wheat tortillas,How often were the tortillas you ate corn tortillas?
Q978,Checkbox Index (delimited codes),7,"What <b>rice, pasta,</b> and <b>pizza</b> have you eaten?",Please check the box next to each food that you ate at least once in the past month.
Q980,Radio Button (code),0,"Rice or other cooked grains (such as bulgur, cracked wheat, or millet; <i>NOT including sushi)</i>","Over the past month</u>, how often did you eat rice or other cooked grains (such as bulgur, cracked wheat, or millet; NOT including sushi)?"
Q981,Radio Button (code),0,"Rice or other cooked grains (such as bulgur, cracked wheat, or millet; <i>NOT including sushi)</i>","Each time you ate rice or other cooked grains, how much did you usually eat?"
Q982,Radio Button (code),0,"Rice or other cooked grains (such as bulgur, cracked wheat, or millet; <i>NOT including sushi)</i>",How often was the rice or other cooked grains you ate whole grain?
Q984,Radio Button (code),0,Sushi,"Over the past month</u>, how often did you eat sushi?"
Q985,Radio Button (code),0,Sushi,"Each time you ate sushi, how much did you usually eat?"
Q987,Radio Button (code),0,"Lasagna, stuffed shells, stuffed manicotti, ravioli, or tortellini (including gluten-free; <i>NOT including spaghetti or other pasta</i>)","Over the past month</u>, how often did you eat lasagna, stuffed shells, stuffed manicotti, ravioli, or tortellini (including gluten-free; NOT including spaghetti or other pasta)?"
Q988,Radio Button (code),0,"Lasagna, stuffed shells, stuffed manicotti, ravioli, or tortellini (including gluten-free; <i>NOT including spaghetti or other pasta</i>)","Each time you ate lasagna, stuffed shells, stuffed manicotti, ravioli, or tortellini, how much did you usually eat?"
Q990,Radio Button (code),0,Macaroni and cheese (including gluten-free),"Over the past month</u>, how often did you eat macaroni and cheese (including gluten-free)?"
Q991,Radio Button (code),0,Macaroni and cheese (including gluten-free),"Each time you ate macaroni and cheese, how much did you usually eat?"
Q993,Radio Button (code),0,Pasta salad or macaroni salad (including gluten-free),"Over the past month</u>, how often did you eat pasta salad or macaroni salad (including gluten-free)?"
Q994,Radio Button (code),0,Pasta salad or macaroni salad (including gluten-free),"Each time you ate pasta salad or macaroni salad, how much did you usually eat?"
Q996,Radio Button (code),0,"Pasta, spaghetti, or other noodles (other than those listed above; including gluten-free)","Other than the pastas listed previously, over the past month</u>, how often did you eat pasta, spaghetti, or other noodles (including gluten-free)?"
Q997,Radio Button (code),0,"Pasta, spaghetti, or other noodles (other than those listed above; including gluten-free)","Each time you ate pasta, spaghetti, or other noodles, how much did you usually eat?"
Q998,Radio Button (code),0,"Pasta, spaghetti, or other noodles (other than those listed above; including gluten-free)","How often did you eat your pasta, spaghetti, or other noodles with tomato sauce or spaghetti sauce made WITH meat?"
Q999,Radio Button (code),0,"Pasta, spaghetti, or other noodles (other than those listed above; including gluten-free)","How often did you eat your pasta, spaghetti, or other noodles with tomato sauce or spaghetti sauce made WITHOUT meat?"
Q1000,Radio Button (code),0,"Pasta, spaghetti, or other noodles (other than those listed above; including gluten-free)","How often did you eat your pasta, spaghetti, or other noodles with margarine, butter, oil, or cream sauce?"
Q1002,Radio Button (code),0,Pizza (including gluten-free),"Over the past month</u>, how often did you eat pizza (including gluten-free)?"
Q1003,Radio Button (code),0,Pizza (including gluten-free),"Each time you ate pizza, how much did you usually eat?"
Q1004,Radio Button (code),0,Pizza (including gluten-free),"How often did you eat pizza with pepperoni, sausage, or other meat?"
Q1005,Checkbox Index (delimited codes),7,"What <b>cereal, pancakes,</b> and <b>breads</b> have you eaten?",Please check the box next to each food that you ate at least once in the past month.
Q1007,Radio Button (code),0,"Oatmeal, grits, or other cooked cereals","Over the past month</u>, how often did you eat oatmeal, grits, or other cooked cereal?"
Q1008,Radio Button (code),0,"Oatmeal, grits, or other cooked cereals","Each time you ate oatmeal, grits, or other cooked cereal, how much did you usually eat?"
Q1010,Radio Button (code),0,Cold cereal (including gluten-free),"Over the past month</u>, how often did you eat cold cereal (including gluten-free)?"
Q1011,Radio Button (code),0,Cold cereal (including gluten-free),"Each time you ate cold cereal, how much did you usually eat?"
Q1012,Radio Button (code),0,Cold cereal (including gluten-free),"How often was the cold cereal you ate a whole grain type (such as Fiber One, Shredded Wheat, Cheerios, Kashi, Wheaties, or others)?"
Q1013,Radio Button (code),0,Cold cereal (including gluten-free),"How often was the cold cereal you ate a highly fortified type (such as All Bran, Chex, King Vitamin Cereal, Malt-O-Meal, Product 19, Raisin Bran Total, or others)?"
Q1014,Radio Button (code),0,Cold cereal (including gluten-free),How often was the cold cereal you ate granola cereal?
Q1015,Radio Button (code),0,Cold cereal (including gluten-free),"How often was the cold cereal you ate other types of cold cereal (such as Corn Flakes, Rice Krispies, Frosted Flakes, Special K, Froot Loops, Cap'n Crunch, or others)?"
Q1016,Radio Button (code),0,Cold cereal (including gluten-free),Was milk added to your cold cereal?
Q1017,Radio Button (code),0,Cold cereal (including gluten-free),What type of milk was usually added to your cold cereal?
Q1018,Radio Button (code),0,Cold cereal (including gluten-free),"Each time milk was added to your cold cereal, how much did you usually drink?"
Q1020,Radio Button (code),0,"Pancakes, waffles, or French toast (including gluten-free)","Over the past month</u>, how often did you eat pancakes, waffles, or French toast (including gluten-free)?"
Q1021,Radio Button (code),0,"Pancakes, waffles, or French toast (including gluten-free)","Each time you ate pancakes, waffles, or French toast, how much did you usually eat?"
Q1022,Radio Button (code),0,"Pancakes, waffles, or French toast (including gluten-free)","How often was margarine (including low-fat) added to your pancakes, waffles, or French toast AFTER COOKING OR AT THE TABLE?"
Q1023,Radio Button (code),0,"Pancakes, waffles, or French toast (including gluten-free)","How often was butter (including low-fat) added to your pancakes, waffles, or French toast AFTER COOKING OR AT THE TABLE?"
Q1024,Radio Button (code),0,"Pancakes, waffles, or French toast (including gluten-free)","Each time margarine or butter was added to your pancakes, waffles, or French toast, how much did you usually eat?"
Q1025,Radio Button (code),0,"Pancakes, waffles, or French toast (including gluten-free)","How often was syrup added to your pancakes, waffles, or French toast?"
Q1026,Radio Button (code),0,"Pancakes, waffles, or French toast (including gluten-free)","Each time syrup was added to your pancakes, waffles, or French toast, how much did you usually eat?"
Q1027,Radio Button (code),0,"Pancakes, waffles, or French toast (including gluten-free)","How often was the syrup added to your pancakes, waffles, or French toast diet or light?"
Q1029,Radio Button (code),0,Bagels or English muffins (including gluten-free),"Over the past month</u>, how often did you eat bagels or English muffins (including gluten-free)?"
Q1030,Radio Button (code),0,Bagels or English muffins (including gluten-free),"Each time you ate bagels or English muffins, how much did you usually eat?"
Q1031,Radio Button (code),0,Bagels or English muffins (including gluten-free),How often were the bagels or English muffins you ate whole grain?
Q1032,Radio Button (code),0,Bagels or English muffins (including gluten-free),How often was margarine (including low-fat) added to your bagels or English muffins?
Q1033,Radio Button (code),0,Bagels or English muffins (including gluten-free),How often was butter (including low-fat) added to your bagels or English muffins?
Q1034,Radio Button (code),0,Bagels or English muffins (including gluten-free),"Each time margarine or butter was added to your bagels or English muffins, how much did you usually eat?"
Q1035,Radio Button (code),0,Bagels or English muffins (including gluten-free),How often was cream cheese (including low-fat) spread on your bagels or English muffins?
Q1036,Radio Button (code),0,Bagels or English muffins (including gluten-free),"Each time cream cheese was added to your bagels or English muffins, how much did you usually eat?"
Q1038,Radio Button (code),0,Breads or rolls AS PART OF SANDWICHES (including gluten-free),"Over the past month</u>, how often did you eat breads or rolls AS PART OF SANDWICHES (including gluten-free)?"
Q1039,Radio Button (code),0,Breads or rolls AS PART OF SANDWICHES (including gluten-free),"Each time you ate breads or rolls AS PART OF SANDWICHES, how much did you usually eat?"
Q1040,Radio Button (code),0,Breads or rolls AS PART OF SANDWICHES (including gluten-free),How often were the breads or rolls that you used for your sandwiches whole grain?
Q1041,Radio Button (code),0,Breads or rolls AS PART OF SANDWICHES (including gluten-free),"How often was mayonnaise or mayonnaise-type dressing (including low-fat, diet, or light) added to the breads or rolls used for your sandwiches?"
Q1042,Radio Button (code),0,Breads or rolls AS PART OF SANDWICHES (including gluten-free),"Each time mayonnaise or mayonnaise-type dressing was added to the breads or rolls used for your sandwiches, how much did you usually eat?"
Q1043,Radio Button (code),0,Breads or rolls AS PART OF SANDWICHES (including gluten-free),"How often was margarine (including low-fat, diet, or light) added to the breads or rolls used for your sandwich?"
Q1044,Radio Button (code),0,Breads or rolls AS PART OF SANDWICHES (including gluten-free),"How often was butter (including low-fat, diet, or light) added to the breads or rolls used for your sandwich?"
Q1045,Radio Button (code),0,Breads or rolls AS PART OF SANDWICHES (including gluten-free),"Each time margarine or butter was added to the breads or rolls used for your sandwich, how much did you usually eat?"
Q1047,Radio Button (code),0,Breads or dinner rolls NOT AS PART OF SANDWICHES (including gluten-free),"Over the past month</u>, how often did you eat breads or dinner rolls NOT AS PART OF SANDWICHES (including gluten-free)?"
Q1048,Radio Button (code),0,Breads or dinner rolls NOT AS PART OF SANDWICHES (including gluten-free),"Each time you ate breads or dinner rolls NOT AS PART OF SANDWICHES, how much did you usually eat?"
Q1049,Radio Button (code),0,Breads or dinner rolls NOT AS PART OF SANDWICHES (including gluten-free),How often were the breads or dinner rolls you ate whole grain?
Q1050,Radio Button (code),0,Breads or dinner rolls NOT AS PART OF SANDWICHES (including gluten-free),"How often was margarine (including low-fat, diet, or light) added to the breads or dinner rolls?"
Q1051,Radio Button (code),0,Breads or dinner rolls NOT AS PART OF SANDWICHES (including gluten-free),"How often was butter (including low-fat, diet, or light) added to the breads or dinner rolls?"
Q1052,Radio Button (code),0,Breads or dinner rolls NOT AS PART OF SANDWICHES (including gluten-free),"Each time margarine or butter was added to the breads or dinner rolls, how much did you usually eat?"
Q1053,Radio Button (code),0,Breads or dinner rolls NOT AS PART OF SANDWICHES (including gluten-free),How often was cream cheese (including low-fat) spread added to the breads or dinner rolls?
Q1054,Radio Button (code),0,Breads or dinner rolls NOT AS PART OF SANDWICHES (including gluten-free),"Each time cream cheese was added to the breads or dinner rolls, how much did you usually eat?"
Q1056,Radio Button (code),0,Cornbread or corn muffins,"Over the past month</u>, how often did you eat cornbread or corn muffins?"
Q1057,Radio Button (code),0,Cornbread or corn muffins,"Each time you ate cornbread or corn muffins, how much did you usually eat?"
Q1059,Radio Button (code),0,Biscuits,"Over the past month</u>, how often did you eat biscuits?"
Q1060,Radio Button (code),0,Biscuits,"Each time you ate biscuits, how much did you usually eat?"
Q1062,Radio Button (code),0,"Jam, jelly, or honey (on bagels, muffins, breads, rolls, crackers, etc.)","Over the past month</u>, how often did you eat jam, jelly, or honey (on bagels, muffins, breads, rolls, crackers, etc.)?"
Q1063,Radio Button (code),0,"Jam, jelly, or honey (on bagels, muffins, breads, rolls, crackers, etc.)","Each time you ate jam, jelly, or honey, how much did you usually eat?"
Q1065,Radio Button (code),0,Peanut butter or other nut butter,"Over the past month</u>, how often did you eat peanut butter or other nut butter?"
Q1066,Radio Button (code),0,Peanut butter or other nut butter,"Each time you ate peanut butter or other nut butter, how much did you usually eat?"
Q1068,Radio Button (code),0,Hummus,"Over the past month</u>, how often did you eat hummus?"
Q1069,Radio Button (code),0,Hummus,"Each time you ate hummus, how much did you usually eat?"
Q1070,Checkbox Index (delimited codes),7,"What <b>cold cuts, luncheon meats,</b> and <b>hot dogs</b> have you eaten?",Please check the box next to each food that you ate at least once in the past month.
Q1072,Radio Button (code),0,Roast beef or steak IN SANDWICHES,"Over the past month</u>, how often did you eat roast beef or steak IN SANDWICHES?"
Q1073,Radio Button (code),0,Roast beef or steak IN SANDWICHES,"Each time you ate roast beef or steak IN SANDWICHES, how much meat did you usually eat?"
Q1075,Radio Button (code),0,Luncheon or deli-style ham <i>(NOT including other ham)</i>,"Over the past month</u>, how often did you eat luncheon or deli-style ham (NOT including other ham)?"
Q1076,Radio Button (code),0,Luncheon or deli-style ham <i>(NOT including other ham)</i>,"Each time you ate luncheon or deli-style ham, how much did you usually eat?"
Q1078,Radio Button (code),0,"Turkey or chicken COLD CUTS (such as loaf, luncheon meat, turkey ham, turkey salami, or turkey pastrami; <i>NOT including other turkey or chicken</i>)","Over the past month</u>, how often did you eat turkey or chicken COLD CUTS (such as loaf, luncheon meat, turkey ham, turkey salami, or turkey pastrami; NOT including other turkey or chicken)?"
Q1079,Radio Button (code),0,"Turkey or chicken COLD CUTS (such as loaf, luncheon meat, turkey ham, turkey salami, or turkey pastrami; <i>NOT including other turkey or chicken</i>)","Each time you ate turkey or chicken COLD CUTS, how much did you usually eat?"
Q1081,Radio Button (code),0,Bologna,"Over the past month</u>, how often did you eat bologna?"
Q1082,Radio Button (code),0,Bologna,"Each time you ate bologna, how much did you usually eat?"
Q1084,Radio Button (code),0,"Other cold cuts or luncheon meats (such as salami, corned beef, pastrami, etc.; <i>NOT including ham, turkey, or chicken, bologna cold cuts</i>)","Over the past month</u>, how often did you eat other cold cuts or luncheon meats (such as salami, corned beef, pastrami, etc.; NOT including ham, turkey, or chicken, bologna cold cuts)?"
Q1085,Radio Button (code),0,"Other cold cuts or luncheon meats (such as salami, corned beef, pastrami, etc.; <i>NOT including ham, turkey, or chicken, bologna cold cuts</i>)","Each time you ate other cold cuts or luncheon meats, how much did you usually eat?"
Q1087,Radio Button (code),0,Hot dogs or frankfurters <i>(NOT including sausage or vegetarian hot dogs)</i>,"Over the past month</u>, how often did you eat hot dogs or frankfurters (NOT including sausage or vegetarian hot dogs)?"
Q1088,Radio Button (code),0,Hot dogs or frankfurters <i>(NOT including sausage or vegetarian hot dogs)</i>,"Each time you ate hot dogs or frankfurters, how many did you usually eat?"
Q1089,Radio Button (code),0,Hot dogs or frankfurters <i>(NOT including sausage or vegetarian hot dogs)</i>,How often were the hot dogs or frankfurters you ate made of chicken or turkey?
Q1090,Radio Button (code),0,Hot dogs or frankfurters <i>(NOT including sausage or vegetarian hot dogs)</i>,How often were the hot dogs or frankfurters you ate eaten with bun or rolls?
Q1091,Checkbox Index (delimited codes),7,"What <b>meat, poultry,</b> and <b>fish</b> have you eaten?",Please check the box next to each food that you ate at least once in the past month.
Q1093,Radio Button (code),0,GROUND chicken or turkey,"Over the past month</u>, how often did you eat GROUND chicken or turkey?"
Q1094,Radio Button (code),0,GROUND chicken or turkey,"Each time you ate GROUND chicken or turkey, how much did you usually eat?"
Q1096,Radio Button (code),0,"Baked, broiled, roasted, stewed, grilled, pan-fried, or fried chicken (including chicken nuggets; <i>NOT including chicken in mixtures</i>)","Over the past month</u>, how often did you eat baked, broiled, roasted, stewed, grilled, pan-fried, or fried chicken (including chicken nuggets; NOT including chicken in mixtures)?"
Q1097,Radio Button (code),0,"Baked, broiled, roasted, stewed, grilled, pan-fried, or fried chicken (including chicken nuggets; <i>NOT including chicken in mixtures</i>)","Each time you ate baked, broiled, roasted, stewed, or fried chicken, how much did you usually eat?"
Q1098,Radio Button (code),0,"Baked, broiled, roasted, stewed, grilled, pan-fried, or fried chicken (including chicken nuggets; <i>NOT including chicken in mixtures</i>)",How often was the chicken you ate fried chicken (including deep fried) or chicken nuggets?
Q1099,Radio Button (code),0,"Baked, broiled, roasted, stewed, grilled, pan-fried, or fried chicken (including chicken nuggets; <i>NOT including chicken in mixtures</i>)",How often was the chicken you ate pan-fried chicken?
Q1100,Radio Button (code),0,"Baked, broiled, roasted, stewed, grilled, pan-fried, or fried chicken (including chicken nuggets; <i>NOT including chicken in mixtures</i>)",How often was the chicken you ate grilled chicken?
Q1101,Radio Button (code),0,"Baked, broiled, roasted, stewed, grilled, pan-fried, or fried chicken (including chicken nuggets; <i>NOT including chicken in mixtures</i>)",How often was the chicken you ate oven-broiled chicken?
Q1102,Radio Button (code),0,"Baked, broiled, roasted, stewed, grilled, pan-fried, or fried chicken (including chicken nuggets; <i>NOT including chicken in mixtures</i>)","Which image best represents how you usually cook your pan-fried, grilled or oven-broiled chicken?"
Q1103,Radio Button (code),0,"Baked, broiled, roasted, stewed, grilled, pan-fried, or fried chicken (including chicken nuggets; <i>NOT including chicken in mixtures</i>)",How often was the chicken you ate WHITE meat?
Q1104,Radio Button (code),0,"Baked, broiled, roasted, stewed, grilled, pan-fried, or fried chicken (including chicken nuggets; <i>NOT including chicken in mixtures</i>)",How often was the chicken you ate WITH SKIN?
Q1106,Radio Button (code),0,"Chicken in mixed dishes (such as salads, sandwiches, casseroles, stews, or other mixtures)","Over the past month</u>, how often did you eat chicken in mixed dishes (such as salads, sandwiches, casseroles, stews, or other mixtures)?"
Q1107,Radio Button (code),0,"Chicken in mixed dishes (such as salads, sandwiches, casseroles, stews, or other mixtures)","Each time you ate chicken in mixed dishes, how much did you usually eat?"
Q1109,Radio Button (code),0,Turkey including in mixed dishes (<i>NOT including ground turkey</i>),"Over the past month</u>, how often did you eat turkey including in mixed dishes (NOT including ground turkey)?"
Q1110,Radio Button (code),0,Turkey including in mixed dishes (<i>NOT including ground turkey</i>),"Each time you ate turkey, how much did you usually eat?"
Q1112,Radio Button (code),0,Beef hamburgers or cheeseburgers from a FAST FOOD RESTAURANT,"Over the past month</u>, how often did you eat beef hamburgers or cheeseburgers from a FAST FOOD RESTAURANT?"
Q1113,Radio Button (code),0,Beef hamburgers or cheeseburgers from a FAST FOOD RESTAURANT,"Each time you ate beef hamburgers or cheeseburgers from a FAST FOOD RESTAURANT, what size did you usually eat?"
Q1115,Radio Button (code),0,Beef hamburgers or cheeseburgers NOT from a FAST FOOD RESTAURANT,"Over the past month</u>, how often did you eat beef hamburgers or cheeseburgers that were NOT from a FAST FOOD RESTAURANT?"
Q1116,Radio Button (code),0,Beef hamburgers or cheeseburgers NOT from a FAST FOOD RESTAURANT,"Each time you ate beef hamburgers or cheeseburgers that were NOT from a FAST FOOD RESTAURANT, how much did you usually eat?"
Q1117,Radio Button (code),0,Beef hamburgers or cheeseburgers NOT from a FAST FOOD RESTAURANT,How often were these beef hamburgers or cheeseburgers made with lean ground beef?
Q1118,Radio Button (code),0,Beef hamburgers or cheeseburgers NOT from a FAST FOOD RESTAURANT,How often were these beef hamburgers or cheeseburgers you ate pan-fried burgers?
Q1119,Radio Button (code),0,Beef hamburgers or cheeseburgers NOT from a FAST FOOD RESTAURANT,How often were these beef hamburgers or cheeseburgers you ate grilled burgers?
Q1120,Radio Button (code),0,Beef hamburgers or cheeseburgers NOT from a FAST FOOD RESTAURANT,"When you ate pan-fried or grilled burgers, how were they usually cooked?"
Q1122,Radio Button (code),0,"Ground beef in mixtures (such as meatballs, casseroles, chili, or meatloaf)","Over the past month</u>, how often did you eat ground beef in mixtures (such as meatballs, casseroles, chili, or meatloaf)?"
Q1123,Radio Button (code),0,"Ground beef in mixtures (such as meatballs, casseroles, chili, or meatloaf)","Each time you ate ground beef in mixtures, how much did you usually eat?"
